build_order,phase,week,page_id,slug,type,target_keyword,volume,kd,cluster,reason,interlinks_to_add_immediately_after_publish
1,1,1,P001,/,homepage-update,ai tax tools free,1100,52,commercial,Update homepage: add H1 with AI tax tools framing + links to top 3 Q&A + FAQ Schema + links to /tax-answers/ hub,/tax-answers/ | /tax-answers/what-is-backup-withholding/ | /tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/what-is-medicare-tax/
2,1,1,P002,/tax-answers/,hub-build,tax answers hub,0,0,hub,Create /tax-answers/ hub page listing all clusters. First internal anchor point for the whole network.,/ (homepage)
3,1,1,P058,/hello-world/,existing-blog-update,irs treas 310,0,0,irs-refunds,Add 2 I-node links to existing IRS TREAS 310 post → points to future answer pages,/tax-answers/irs-treas-310-tax-ref/ | /tax-answers/irs-treas-310/
4,1,1,P059,/what-is-tax-exempt-interest-income/,existing-blog-update,tax exempt interest income,0,0,income-concepts,Add 2 I-node links to existing tax-exempt interest post → points to future answer pages,/tax-answers/what-is-tax-exempt-interest-income/ | /tax-answers/taxable-interest/
5,1,1,P060,/does-florida-tax-social-security/,existing-blog-update,capital gains tax florida,0,0,state-tax,Add I-node links to existing Florida post,/tax-answers/capital-gains-tax-florida/ | /tax-answers/does-california-tax-social-security/
6,1,1,P061,/how-to-calculate-tax-life-insurance/,existing-blog-update,life insurance tax,0,0,income-concepts,Add I-node links to existing life insurance post,/tax-answers/are-disability-benefits-taxable/ | /tax-answers/is-severance-pay-taxable/
7,1,1,P008,/tax-answers/what-is-sdi-tax/,tax-answer,what is sdi tax,1100,0,income-concepts,KD 0 — fastest win. Establishes income-concepts micro-cluster first.,/tax-answers/sdi-tax/ | /tax-answers/what-is-medicare-tax/ | /tax-answers/
8,1,1,P013,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,tax-answer,if i pay child support can i claim my child on taxes,2800,0,child-family,KD 0 high volume — immediate win potential. Starts child-family cluster.,/tax-answers/if-you-pay-child-support-can-you-claim-child-on-taxes-2026/ | /tax-answers/can-father-claim-child-on-taxes/ | /tax-answers/
9,1,1,P014,/tax-answers/why-is-receiving-large-tax-refund-bad/,tax-answer,why is receiving a large tax refund a bad thing,1900,0,irs-refunds,KD 0 — quick win. Starts IRS refunds cluster at micro level.,/tax-answers/how-long-tax-refund-show-bank-account/ | /tax-answers/what-is-tax-liability-zero/ | /tax-answers/
10,1,1,P015,/tax-answers/what-is-tax-exempt-interest-income/,tax-answer,what is tax exempt interest income,1300,0,income-concepts,KD 0 — reinforces existing blog post. Creates semantic link path.,/tax-answers/tax-exempt-interest-income/ | /tax-answers/taxable-interest/ | /tax-answers/
11,1,1,P016,/tax-answers/inheritance-tax-california/,tax-answer,inheritance tax california,1700,0,state-tax,KD 0 — starts California state-tax cluster at micro level before bigger pages.,/tax-answers/california-inheritance-tax/ | /tax-answers/prop-19-loopholes/ | /tax-answers/
12,1,1,P003,/tax-answers/what-is-backup-withholding/,tax-answer,what is backup withholding,12000,1,income-concepts,KD 1 — highest volume KD≤1 keyword. Anchor of income-concepts cluster. Link from homepage.,/tax-answers/backup-withholding/ | /tax-answers/backup-withholding-meaning/ | /tax-answers/
13,1,2,P004,/tax-answers/is-homeowners-insurance-tax-deductible/,tax-answer,is homeowners insurance tax deductible,3000,2,insurance-deductions,KD 2 — starts insurance-deductions cluster. Link from homepage.,/tax-answers/is-home-insurance-tax-deductible/ | /tax-answers/is-mortgage-insurance-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/
14,1,2,P006,/tax-answers/are-funeral-expenses-tax-deductible/,tax-answer,are funeral expenses tax deductible,3900,2,deductions,KD 2 high volume — starts deductions cluster.,/tax-answers/are-union-dues-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/ | /tax-answers/
15,1,2,P007,/tax-answers/are-union-dues-tax-deductible/,tax-answer,are union dues tax deductible,3100,2,deductions,KD 2 — second page in deductions cluster. Now we have enough to link between them.,/tax-answers/unreimbursed-employee-expenses/ | /tax-answers/are-funeral-expenses-tax-deductible/ | /tax-answers/
16,1,2,P005,/tax-answers/what-is-medicare-tax/,tax-answer,what is medicare tax,4200,3,income-concepts,KD 3 high volume — link from homepage. Strong income-concepts node.,/tax-answers/are-medicare-premiums-tax-deductible/ | /tax-answers/what-is-sdi-tax/ | /tax-answers/
17,1,2,P009,/tax-answers/sdi-tax/,tax-answer,sdi tax,2900,2,income-concepts,KD 2 — now we have /what-is-sdi-tax/ to link to. Cluster is forming.,/tax-answers/what-is-sdi-tax/ | /tax-answers/california-sdi-tax/ | /tax-answers/what-is-medicare-tax/
18,1,2,P010,/tax-answers/are-gofundme-donations-tax-deductible/,tax-answer,are gofundme donations tax deductible,2500,4,deductions,KD 4 — third deductions page. Now we have enough pages in cluster to link properly.,/tax-answers/are-funeral-expenses-tax-deductible/ | /tax-answers/are-closing-costs-tax-deductible/ | /tax-answers/
19,1,2,P011,/tax-answers/is-car-insurance-tax-deductible/,tax-answer,is car insurance tax deductible,1600,2,insurance-deductions,KD 2 — second insurance page. Link from /is-homeowners-insurance-tax-deductible/.,/tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/unreimbursed-employee-expenses/ | /tax-answers/
20,1,2,P012,/tax-answers/are-closing-costs-tax-deductible/,tax-answer,are closing costs tax deductible,1500,2,insurance-deductions,KD 2 — connects insurance + deductions clusters. Strong contextual bridge.,/tax-answers/is-homeowners-insurance-tax-deductible/ | /tax-answers/is-mortgage-insurance-tax-deductible/ | /tax-answers/
21,2,3,P017,/tax-answers/do-gift-cards-have-tax/,tax-answer,do gift cards have tax,1200,0,deductions,KD 0 — quick win. Phase 2 opening page.,/tax-answers/taxable-interest/ | /tax-answers/are-gofundme-donations-tax-deductible/ | /tax-answers/
22,2,3,P018,/tax-answers/backup-withholding/,tax-answer,backup withholding,13000,10,income-concepts,Highest volume keyword. Now that /what-is-backup-withholding/ is live we can link in both directions.,/tax-answers/what-is-backup-withholding/ | /tax-answers/backup-withholding-meaning/ | /tax-answers/
23,2,3,P019,/tax-answers/irs-treas-310-tax-ref/,tax-answer,irs treas 310 tax ref,5900,5,irs-refunds,High volume KD 5. Builds on existing IRS blog post. Link from /why-is-receiving-large-tax-refund-bad/.,/tax-answers/irs-treas-310/ | /tax-answers/how-long-tax-refund-show-bank-account/ | /tax-answers/why-is-receiving-large-tax-refund-bad/
24,2,3,P020,/tax-answers/how-long-tax-refund-show-bank-account/,tax-answer,how long does it take for tax refund to show in bank account after approved,17000,13,irs-refunds,HIGHEST VOLUME TARGET. KD 13 but TaxGPT ranks #18. We can beat this. Flagship page.,/tax-answers/irs-treas-310-tax-ref/ | /tax-answers/irs-treas-310/ | /tax-answers/why-is-receiving-large-tax-refund-bad/
25,2,3,P021,/tax-answers/tax-exempt-interest-income/,tax-answer,tax exempt interest income,5200,3,income-concepts,High volume. Now links to /what-is-tax-exempt-interest-income/ bidirectionally.,/tax-answers/what-is-tax-exempt-interest-income/ | /tax-answers/taxable-interest/ | /tax-answers/
