publish_date,day_num,week,page_id,slug,target_keyword,volume,kd,cluster,type,publish_reason,word_count_target,status
2026-04-01,1,1,P001,/,homepage update,1100,52,commercial,homepage-update,"FIRST: Update homepage H1 + FAQ schema + links to /tax-answers/ hub and top 3 Q&A pages",800,todo
2026-04-01,1,1,P002,/tax-answers/,hub page,0,0,hub,hub-build,"SAME DAY: Build /tax-answers/ hub. Homepage links to it immediately.",600,todo
2026-04-01,1,1,P058-P061,existing blog posts,,,,,existing-update,"SAME DAY: Add I-node links to all 4 existing blog posts. Free PageRank activated.",0,todo
2026-04-01,1,1,P062,/tax-answers/tax-filing-deadline-2025/,tax filing deadline 2025,1800,12,tax-deadlines,tax-answer,"TAX SEASON URGENT. April 15 is 14 days away. Highest seasonal traffic right now.",550,todo
2026-04-02,2,1,P063,/tax-answers/deadline-to-file-taxes-2025/,deadline to file taxes 2025,1700,12,tax-deadlines,tax-answer,Companion to P062. Publish day 2 so they can link to each other.,500,todo
2026-04-02,2,1,P064,/tax-answers/important-tax-dates/,important tax dates and deadlines,900,9,tax-deadlines,tax-answer,Tax deadlines cluster hub. Links to both deadline pages.,600,todo
2026-04-03,3,1,P008,/tax-answers/what-is-sdi-tax/,what is sdi tax,1100,0,income-concepts,tax-answer,KD 0 — fastest ranking page. Starts income-concepts cluster.,500,todo
2026-04-03,3,1,P013,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,if i pay child support can i claim my child on taxes,2800,0,child-family,tax-answer,KD 0 high volume. Starts child-family cluster.,600,todo
2026-04-04,4,1,P014,/tax-answers/why-is-receiving-large-tax-refund-bad/,why is receiving a large tax refund a bad thing,1900,0,irs-refunds,tax-answer,KD 0. Starts IRS refunds cluster.,500,todo
2026-04-04,4,1,P015,/tax-answers/what-is-tax-exempt-interest-income/,what is tax exempt interest income,1300,0,income-concepts,tax-answer,KD 0. Links to existing blog post bidirectionally.,550,todo
2026-04-05,5,1,P016,/tax-answers/inheritance-tax-california/,inheritance tax california,1700,0,state-tax,tax-answer,KD 0 starts California cluster.,500,todo
2026-04-06,6,1,P003,/tax-answers/what-is-backup-withholding/,what is backup withholding,12000,1,income-concepts,tax-answer,"KD 1 — highest volume KD≤1 keyword. Link from homepage directly.",600,todo
2026-04-06,6,1,P138,/tax-answers/penalty-for-underpayment-of-estimated-tax/,penalty for underpayment of estimated tax,700,9,tax-deadlines,tax-answer,Tax season: estimated tax penalties are being calculated right now.,550,todo
2026-04-07,7,1,P004,/tax-answers/is-homeowners-insurance-tax-deductible/,is homeowners insurance tax deductible,3000,2,insurance-deductions,tax-answer,KD 2 — starts insurance cluster. Link from homepage.,650,todo
2026-04-07,7,1,P139,/tax-answers/safe-harbor-tax/,safe harbor tax,600,11,tax-deadlines,tax-answer,Tax season: safe harbor rule for avoiding penalties.,500,todo
2026-04-08,8,2,P006,/tax-answers/are-funeral-expenses-tax-deductible/,are funeral expenses tax deductible,3900,2,deductions,tax-answer,KD 2 high volume. Starts deductions cluster.,550,todo
2026-04-08,8,2,P007,/tax-answers/are-union-dues-tax-deductible/,are union dues tax deductible,3100,2,deductions,tax-answer,Second deductions page — now they can link to each other.,550,todo
2026-04-09,9,2,P005,/tax-answers/what-is-medicare-tax/,what is medicare tax,4200,3,income-concepts,tax-answer,KD 3 high volume. Link from homepage.,600,todo
2026-04-09,9,2,P009,/tax-answers/sdi-tax/,sdi tax,2900,2,income-concepts,tax-answer,Bidirectional with what-is-sdi-tax now live.,550,todo
2026-04-10,10,2,P010,/tax-answers/are-gofundme-donations-tax-deductible/,are gofundme donations tax deductible,2500,4,deductions,tax-answer,Third deductions page — cluster forming.,500,todo
2026-04-10,10,2,P011,/tax-answers/is-car-insurance-tax-deductible/,is car insurance tax deductible,1600,2,insurance-deductions,tax-answer,Second insurance page — links to homeowners now live.,550,todo
2026-04-11,11,2,P012,/tax-answers/are-closing-costs-tax-deductible/,are closing costs tax deductible,1500,2,insurance-deductions,tax-answer,Connects insurance + deductions clusters.,600,todo
2026-04-11,11,2,P073,/tax-answers/irs-form-843/,843,2800,3,irs-forms,tax-answer,High volume KD 3. Starts IRS forms cluster.,600,todo
2026-04-12,12,2,P019,/tax-answers/irs-treas-310-tax-ref/,irs treas 310 tax ref,5900,5,irs-refunds,tax-answer,"Tax season peak: refunds being sent RIGHT NOW. High urgency.",600,todo
2026-04-12,12,2,P020,/tax-answers/how-long-tax-refund-show-bank-account/,how long does it take for tax refund to show in bank account,17000,13,irs-refunds,tax-answer,"FLAGSHIP PAGE. Peak relevance: April-May refund season. Publish NOW.",700,todo
2026-04-13,13,2,P032,/tax-answers/irs-treas-310/,irs treas 310,5400,10,irs-refunds,tax-answer,Completes IRS TREAS 310 cluster. Bidirectional with all refund pages.,600,todo
2026-04-13,13,2,P145,/tax-answers/where-is-my-amended-return/,where's my amended return refund,800,0,irs-refunds,tax-answer,KD 0. April = amended return season.,500,todo
2026-04-14,14,2,P144,/tax-answers/how-long-does-it-take-to-approve-tax-refund/,how long does it take to approve tax refund,600,10,irs-refunds,tax-answer,Companion to flagship P020 — approval vs bank appearance.,450,todo
2026-04-14,14,2,P146,/tax-answers/i-received-state-refund-but-not-federal/,i received state refund but not federal,700,0,irs-refunds,tax-answer,KD 0. Peak season anxiety query.,450,todo
2026-04-15,15,3,P130,/tax-answers/are-tax-refunds-taxable/,are tax refunds taxable,600,1,irs-refunds,tax-answer,"TAX DAY! April 15. Publish refund-related content. KD 1.",450,todo
2026-04-15,15,3,P118,/tax-answers/apa-treas-310-misc-pay/,apa treas 310 misc pay,800,1,irs-refunds,tax-answer,Extends IRS codes cluster. KD 1.,450,todo
2026-04-16,16,3,P021,/tax-answers/tax-exempt-interest-income/,tax exempt interest income,5200,3,income-concepts,tax-answer,High volume KD 3. Bidirectional with what-is-tax-exempt now live.,600,todo
2026-04-16,16,3,P038,/tax-answers/taxable-interest/,taxable interest,1100,12,income-concepts,tax-answer,Completes interest income sub-cluster.,550,todo
2026-04-17,17,3,P018,/tax-answers/backup-withholding/,backup withholding,13000,10,income-concepts,tax-answer,"Highest volume keyword. what-is-backup-withholding live — bidirectional now.",650,todo
2026-04-17,17,3,P044,/tax-answers/backup-withholding-meaning/,backup withholding meaning,2300,2,income-concepts,tax-answer,Third backup withholding page — cluster complete.,500,todo
2026-04-18,18,3,P127,/tax-answers/am-i-subject-to-backup-withholding/,am i subject to backup withholding,700,5,income-concepts,tax-answer,Closes backup withholding cluster.,500,todo
2026-04-18,18,3,P148,/tax-answers/what-is-backup-withholding-tax/,what is backup withholding tax,600,7,income-concepts,tax-answer,Short disambiguation — links to main cluster pages.,400,todo
2026-04-19,19,3,P147,/tax-answers/what-is-1099-int/,1099-int,5200,17,irs-forms,tax-answer,"High volume even at KD 17. Interest income cluster needs this.",600,todo
2026-04-19,19,3,P095,/tax-answers/tax-exempt-interest/,tax exempt interest,900,3,income-concepts,tax-answer,Fourth interest income variation — closes cluster.,450,todo
2026-04-20,20,3,P128,/tax-answers/what-is-tax-exempt-interest/,what is tax exempt interest,600,0,income-concepts,tax-answer,KD 0 — fifth interest variation. Short page.,450,todo
2026-04-20,20,3,P022,/tax-answers/california-capital-gains-tax/,california capital gains tax,4500,4,state-tax,tax-answer,California cluster — inheritance page already live for linking.,650,todo
2026-04-21,21,3,P029,/tax-answers/does-california-tax-social-security/,does california tax social security,3700,7,state-tax,tax-answer,Bidirectional with california-capital-gains now live.,500,todo
2026-04-21,21,3,P094,/tax-answers/does-florida-tax-social-security-benefits/,does florida tax social security,900,7,state-tax,tax-answer,Proper answer page — our blog post links to this.,450,todo
2026-04-22,22,3,P030,/tax-answers/capital-gains-tax-florida/,capital gains tax florida,3300,11,state-tax,tax-answer,Extends state cluster to Florida.,550,todo
2026-04-22,22,3,P104,/tax-answers/inheritance-tax-florida/,inheritance tax florida,900,2,state-tax,tax-answer,KD 2. Florida no-inheritance-tax cluster.,450,todo
2026-04-23,23,4,P035,/tax-answers/california-inheritance-tax/,california inheritance tax,1100,2,state-tax,tax-answer,Second California inheritance page — bidirectional.,500,todo
2026-04-23,23,4,P036,/tax-answers/prop-19-loopholes/,prop 19 loopholes,1100,0,state-tax,tax-answer,KD 0 — California property cluster.,650,todo
2026-04-24,24,4,P037,/tax-answers/is-social-security-taxable-in-california/,is social security taxable in california,1100,11,state-tax,tax-answer,Completes California social security sub-cluster.,550,todo
2026-04-24,24,4,P116,/tax-answers/florida-estate-tax/,florida estate tax,800,4,state-tax,tax-answer,Florida cluster completion.,450,todo
2026-04-25,25,4,P134,/tax-answers/does-florida-have-an-inheritance-tax/,does florida have an inheritance tax,600,2,state-tax,tax-answer,Short companion. Florida inheritance cluster complete.,400,todo
2026-04-25,25,4,P125,/tax-answers/inheritance-tax-in-california/,inheritance tax in california,700,1,state-tax,tax-answer,Short companion. California inheritance cluster complete.,400,todo
2026-04-26,26,4,P088,/tax-answers/alabama-business-privilege-tax/,alabama business privilege tax,1100,2,state-tax,tax-answer,State cluster expansion — Alabama business tax.,550,todo
2026-04-26,26,4,P089,/tax-answers/how-to-avoid-pennsylvania-inheritance-tax/,how to avoid pennsylvania inheritance tax,1000,2,state-tax,tax-answer,KD 2 state expansion.,600,todo
2026-04-27,27,4,P103,/tax-answers/sales-tax-in-louisiana/,sales tax in louisiana,900,10,state-tax,tax-answer,State tax cluster — Louisiana.,500,todo
2026-04-27,27,4,P126,/tax-answers/louisiana-sales-tax-rate/,louisiana sales tax rate,700,12,state-tax,tax-answer,Companion to Louisiana page.,500,todo
2026-04-28,28,4,P143,/tax-answers/nevada-modified-business-tax/,nevada modified business tax,800,4,state-tax,tax-answer,State business tax cluster — Nevada.,550,todo
2026-04-29,29,4,P077,/tax-answers/california-sdi-tax/,california sdi tax,1400,11,state-tax,tax-answer,Completes CA SDI cluster. Bidirectional with sdi-tax pages.,500,todo
