keyword,volume,kd,intent,cluster,primary_page_slug,secondary_pages,serp_features,taxgpt_position,taxgpt_traffic,our_target_position,est_traffic_at_target
what is backup withholding,12000,1,informational,income-concepts,/tax-answers/what-is-backup-withholding/,/guides/backup-withholding/,"AI Overview, People also ask",0,0,1-3,600-900
backup withholding,13000,10,informational,income-concepts,/tax-answers/backup-withholding/,/guides/backup-withholding/ | /tax-answers/what-is-backup-withholding/,"AI Overview, People also ask",93,0,3-5,400-600
backup withholding meaning,2300,2,informational,income-concepts,/tax-answers/backup-withholding-meaning/,/tax-answers/backup-withholding/ | /tax-answers/what-is-backup-withholding/,"People also ask, Sitelinks",0,0,1-3,150-250
how long does it take for tax refund to show in bank account after approved,17000,13,informational,irs-refunds,/tax-answers/how-long-tax-refund-show-bank-account/,/guides/irs-treas-310/,"AI Overview, Top stories, People also ask",18,89,3-5,500-700
irs treas 310 tax ref,5900,5,informational,irs-refunds,/tax-answers/irs-treas-310-tax-ref/,/guides/irs-treas-310/ | /tax-answers/irs-treas-310/,"AI Overview, People also ask, Video",6,697,1-3,350-500
irs treas 310,5400,10,informational,irs-refunds,/tax-answers/irs-treas-310/,/guides/irs-treas-310/ | /tax-answers/irs-treas-310-tax-ref/,"AI Overview, People also ask, Sitelinks",9,226,3-5,200-350
irs treasury 310,600,11,informational,irs-refunds,/tax-answers/irs-treas-310/,,People also ask,5,56,3-5,30-60
why is receiving a large tax refund a bad thing,1900,0,informational,irs-refunds,/tax-answers/why-is-receiving-large-tax-refund-bad/,,"AI Overview, People also ask",10,60,1-3,120-200
tax exempt interest income,5200,3,informational,income-concepts,/tax-answers/tax-exempt-interest-income/,/tax-answers/what-is-tax-exempt-interest-income/,"AI Overview, People also ask",7,139,1-3,300-450
what is tax exempt interest income,1300,0,informational,income-concepts,/tax-answers/what-is-tax-exempt-interest-income/,/tax-answers/tax-exempt-interest-income/,"AI Overview, People also ask",5,73,1-2,130-200
taxable interest,1100,12,informational,income-concepts,/tax-answers/taxable-interest/,,"AI Overview, People also ask",0,0,3-5,50-100
